# KrakenUniq v0.5.7 DATE:2019-04-02T19:34:42Z DB:/home/sam/Programs/krakenuniq/all_together/ DB_SIZE:29846651932 WD:/home/sam/Data/Sim
# CL:perl /home/sam/miniconda3/envs/krakenuniq/bin/krakenuniq --db /home/sam/Programs/krakenuniq/all_together/ --threads 8 --report-file MAYO_2.tsv --paired MAYO_2.fastp.1.fastq MAYO_2.fastp.2.fastq

%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
0.1205	26653	26653	106515885	5.23	NA	0	no rank	unclassified
99.88	22091792	5068	19651390	121	0.004125	1	no rank	root
99.79	22072671	0	19633634	121	0.004312	131567	no rank	  cellular organisms
99.79	22072671	0	19633634	121	0.004312	2759	superkingdom	    Eukaryota
99.79	22072671	0	19633634	121	0.004312	33154	no rank	      Opisthokonta
99.79	22072671	0	19633634	121	0.004312	33208	kingdom	        Metazoa
99.79	22072671	0	19633634	121	0.004312	6072	no rank	          Eumetazoa
99.79	22072671	0	19633634	121	0.004312	33213	no rank	            Bilateria
99.79	22072671	0	19633634	121	0.004312	33511	no rank	              Deuterostomia
99.79	22072671	0	19633634	121	0.004312	7711	phylum	                Chordata
99.79	22072671	0	19633634	121	0.004312	89593	subphylum	                  Craniata
99.79	22072671	0	19633634	121	0.004312	7742	no rank	                    Vertebrata
99.79	22072671	0	19633634	121	0.004312	7776	no rank	                      Gnathostomata
99.79	22072671	0	19633634	121	0.004312	117570	no rank	                        Teleostomi
99.79	22072671	0	19633634	121	0.004312	117571	no rank	                          Euteleostomi
99.79	22072671	0	19633634	121	0.004312	8287	superclass	                            Sarcopterygii
99.79	22072671	0	19633634	121	0.004312	1338369	no rank	                              Dipnotetrapodomorpha
99.79	22072671	0	19633634	121	0.004312	32523	no rank	                                Tetrapoda
99.79	22072671	0	19633634	121	0.004312	32524	no rank	                                  Amniota
99.79	22072671	0	19633634	121	0.004312	40674	class	                                    Mammalia
99.79	22072671	0	19633634	121	0.004312	32525	no rank	                                      Theria
99.79	22072671	0	19633634	121	0.004312	9347	no rank	                                        Eutheria
99.79	22072671	0	19633634	121	0.004312	1437010	no rank	                                          Boreoeutheria
99.79	22072671	0	19633634	121	0.004312	314146	superorder	                                            Euarchontoglires
99.79	22072671	0	19633634	121	0.004312	9443	order	                                              Primates
99.79	22072671	0	19633634	121	0.004312	376913	suborder	                                                Haplorrhini
99.79	22072671	0	19633634	121	0.004312	314293	infraorder	                                                  Simiiformes
99.79	22072671	0	19633634	121	0.004312	9526	parvorder	                                                    Catarrhini
99.79	22072671	0	19633634	121	0.004312	314295	superfamily	                                                      Hominoidea
99.79	22072671	0	19633634	121	0.004312	9604	family	                                                        Hominidae
99.79	22072671	0	19633634	121	0.004312	207598	subfamily	                                                          Homininae
99.79	22072671	0	19633634	121	0.004312	9605	genus	                                                            Homo
99.79	22072671	0	19633634	121	0.004312	9606	species	                                                              Homo sapiens
99.79	22072671	22072671	19633634	121	0.004312	1000029966	assembly	                                                                GCF_000001405.38 Homo sapiens
0.06354	14053	0	8664	648	0.002942	28384	no rank	  other sequences
0.06354	14053	0	8664	648	0.002942	81077	no rank	    artificial sequences
0.06354	14053	4543	8664	648	0.002942	32630	species	      synthetic construct
0.02664	5893	2333	4604	97.4	0.002163	1000000001	assembly	        EmVec
0.004064	899	899	470	65.8	0.1113	1000000815	sequence	          AF178973 Cloning vector pCS512 complete sequence.
